"cod","desc_assunto","fk_cnj_assunto"
15154,"Violência Política",15147
15199,"Inspeção em Instituição de Execução de Medida Socioeducativa",9633
15300,"Pagamento por Serviços Ambientais",10110
15301,"Dano Moral Coletivo Decorrente de Dano Ambiental",10110
15302,"Cadastro Ambiental Rural",10110
2569,"Acidente de Trabalho",1855
3386,"Leve",3385
3390,"Perigo para a vida ou saúde de outrem",3388
3392,"Omissão de socorro",3388
3393,"Rixa",287
3395,"Calúnia",3394
3396,"Difamação",3394
3397,"Injúria",3394
3417,"Furto Qualificado ",3415
3419,"Roubo ",3415
3492,"Incêndio",3491
3493,"Explosão ",3491
3494,"Uso de gás tóxico ou asfixiante ",3491
3495,"Inundação / Perigo de Inundação",3491
3496,"Desabamento ou desmoronamento",3491
3619,"Crimes contra a Fauna",3618
3620,"Crimes contra a Flora",3618
3621,"Poluição",3618
3622,"Agrotóxicos ",3618
3623,"Atividades Nucleares ",3618
3637,"Crimes Previstos no Estatuto da criança e do adolescente",3603
3664,"Crimes Militares",3603
3692,"Contravenções Penais",287
4355,"Prisão Preventiva",1209
4829,"Atraso de vôo",4862
4830,"Cancelamento de vôo",4862
4831,"Overbooking",4862
4832,"Extravio de bagagem",4862
4862,"Transporte Aéreo",7771
4939,"Desconsideração da Personalidade Jurídica",5724
4993,"Recuperação judicial e Falência",9616
5003,"Revogação de atos praticados em prejuízo de credores e da massa",4993
5555,"Crime Tentado",287
5556,"Grave",3385
5557,"Gravíssima",3385
5558,"Privilegiada",3385
5560,"Decorrente de Violência Doméstica",3385
5865,"Crime Culposo",287
5870,"Apologia de Crime ou Criminoso",3520
5915,"Isenção",5913
5947,"ICMS/Importação",5946
5951,"ISS/ Imposto sobre Serviços",5916
5952,"IPTU/ Imposto Predial e Territorial Urbano",5916
5953,"IPVA - Imposto Sobre Propriedade de Veículos Automotores",5916
5954,"ITBI - Imposto de Transmissão Intervivos de Bens Móveis e Imóveis",5916
5955,"ITCD - Imposto de Transmissão Causa Mortis",5916
13347,"Aplicabilidade/Cumprimento ",13235
5978,"Obrigação Tributária",14
5980,"Responsabilidade Tributária do Sócio-Gerente / Diretor / Representante",5979
5981,"Substituição Tributária",5979
5982,"DIMOB/Declaração de Informações sobre Atividades Imobilíárias",5978
5984,"CPF/Cadastro de Pessoas Físicas",5978
5985,"Obrigação Acessória",5978
5986,"Crédito Tributário",14
5987,"Suspensão da Exigibilidade",5986
5988,"Carta de fiança",5987
5989,"Parcelamento",5987
6019,"Depósito Prévio ao Recurso Administrativo",6018
6020,"Arrolamento de Bens",6018
6023,"Utilização de Dados Relativos à CPMF para Fins de Fiscalização",6022
6024,"Liberação de mercadorias",6021
6025,"Levantamento de depósito",6021
6026,"Cadastro de Inadimplentes - CADIN/SPC/SERASA/SIAFI/CAUC",6021
6027,"Autorização para Impressão de Documentos Fiscais - AIDF",6021
6028,"Liberação de Veículo Apreendido",6021
6029,"Perdimento de Bens",6021
6032,"Contribuições de Melhoria",6031
6049,"Servidores Ativos",6048
6051,"Mandato Eletivo/Lei 9.506/97",6048
6052,"Aposentadoria/Retorno aoTrabalho",6048
6053,"Cargo em Comissão",6048
6054,"Tempo de Serviço Urbano/Contribuições não Recolhidas",6048
6055,"Tempo de Serviço Rural/Contribuições não Recolhidas",6048
6056,"Gratificação Natalina/13º Salário",6048
6057,"Produção Agropecuária",6048
6058,"Indenização Trabalhista",6048
6059,"Reembolso auxílio-creche",6048
6060,"Contribuição sobre a folha de salários",6048
6061,"Devolução de contribuições previdenciárias pagas além do teto",6048
6062,"1/3 de férias",6048
6063,"Auxílio-Alimentação",6048
6066,"Massa Falida- Recolhimento",6048
10988,"Má gestão",5875
6067,"Nota Fiscal ou Fatura",6048
6068,"Salário-Maternidade",6048
6069,"Contribuição sobre Nota Fiscal de Execução de Serviços",6048
6070,"Contribuição de Autônomos, Empresários (Pró-labore) e Facultativos",6048
6083,"Contribuição de Iluminação Pública",6071
6090,"REFIS/Programa de Recuperação Fiscal",6089
6091,"PAES/Parcelamento Especial",6089
6092,"SIMPLES",6089
6093,"Super SIMPLES",6089
6097,"Aposentadoria Urbana Art. 48/51",6096
6098,"Aposentadoria Rural Art. 48/51",6096
6116,"Ex-combatentes",6094
6212,"Tratados e Convenções Internacionais",6191
6233,"Planos de Saúde",7771
7618,"Turismo",7771
7619,"Consórcio",7771
7620,"Estabelecimentos de Ensino",7771
7621,"Seguro",7771
7626,"Assinatura Básica Mensal",7617
7627,"Pulsos Excedentes",7617
7661,"Bem de Família Voluntário",5626
7715,"Enriquecimento sem Causa",7694
7752,"Bancários",7771
7760,"Fornecimento de Energia Elétrica",7771
7761,"Fornecimento de Água",7771
7770,"Interpretação / Revisão de Contrato",6220
7771,"Contratos de Consumo",1156
7772,"Cartão de Crédito",7771
7773,"Financiamento de Produto",7771
7774,"Serviços Profissionais",7771
7775,"Serviços Hospitalares",7771
7779,"Indenização por Dano Moral",6220
7929,"Prisão em flagrante",1209
7935,"Perempção",4263
7937,"Inclusão/exclusão de Jurado",1209
7941,"Denegação",4305
7949,"Direitos da Personalidade ",5754
7953,"Partido Político",9981
8838,"Imunidade de Jurisdição",8828
8859,"Intervenção de Terceiros ",8842
8865,"Litigância de Má-Fé",8842
8866,"Litisconsórcio ",8842
8867,"Substituição Processual",8842
8868,"Procuração ",8842
8873,"Representação em Juízo",8842
8875,"Ministério Público",8826
8919,"Nulidade",8893
8934,"Valor da Causa",8893
14039,"Sucessão de Empregadores",14034
8941,"Modificação ou Alteração do Pedido",8938
8961,"Antecipação de Tutela / Tutela Específica",8960
8986,"Erro de Procedimento",8960
9024,"Revelia ",8960
9047,"Efeitos",9045
9050,"Preparo/Deserção",9045
9098," Cabimento",9045
9166,"Multa de 10%",9148
9178,"Inexequibilidade do Título / Inexigibilidade da Obrigação",9148
9189,"Remição",9148
9196,"Liminar ",9192
9258,"Honorários Periciais",8842
9414,"Extinção da Execução",9148
9418,"Concurso de Credores",9148
9450,"Fraude à Execução",9148
9453,"Imunidade de Execução",9148
9484,"Sucessão",9148
10045,"Diplomas/Certificado de Conclusão do Curso",10029
9494,"Substituição da Parte",8842
9517,"Causas Supervenientes à Sentença",9148
9519,"Benefício de Ordem",9148
9520,"Ato Atentatório à Dignidade da Justiça",9148
9524,"Indenização do Prejuízo",9192
9532,"Caução",9192
9543,"Sucessão Provisória",5754
9550,"Fusão",7953
14119,"Quebra de Caixa",13831
9551,"Eleições - Diretórios",7953
9555,"Ineficácia de atos  em relação à massa",4993
9581,"Agência e Distribuição",9580
9588,"Corretagem",9580
9589,"Depósito",9580
9591,"Empreitada",9580
9596,"Prestação de Serviços",9580
9603,"Mútuo",9580
9644,"Grave",9641
9645,"Gravíssima",9641
9674,"Contra o Patrimônio",9634
9966,"Abandono Intelectual",9964
9969,"Exploração do Trabalho Infantil",9964
9994," Dano Ambiental",10110
9995,"Serviços de Saúde",9992
9996,"Acidente de Trânsito",9992
9997,"Atos Administrativos",9985
9999,"Declaração de Bagagem",9998
10000,"Declaração de Trânsito Aduaneiro",9998
10001,"Comercialização sem Restrições de Produtos Industrializados",9998
10002,"Comercialização sem Restrições de Gêneros Alimentícios",9998
10003,"Comercialização e/ou Utilização sem Restrições de Medicamentos",9998
10004,"Funcionamento de Comércio de Derivados de Petróleo",9998
10006,"Funcionamento de Estabelecimentos Empresariais",9998
10007,"Registro / Porte de arma de fogo",9998
10008,"Registro de Aeronave",9998
10025,"Apreensão",10022
10069,"Tratamento Médico-Hospitalar e/ou Fornecimento de Medicamentos",10064
10076,"Transporte Terrestre",10073
10079,"Loterias/Sorteio",9998
10081,"Transporte Aquaviário",10073
10083,"Tabelionatos, Registros, Cartórios",10073
10085,"Água e/ou Esgoto",10073
10086,"Recolhimento e Tratamento de Lixo",10073
10087,"Defensoria Pública",10028
10106,"Recursos Minerais",10088
10127,"Vistoria",10120
10128,"Servidão Administrativa",10120
10129,"Ocupação Temporária",10120
10132,"Restituição de área",10120
10135,"Requisição de Bem Particular",10120
10186,"Agentes Políticos",9985
10188,"Remuneração",10187
10189,"Afastamento",10187
10190,"Processo Disciplinar / Sindicância",10187
10191,"Aposentadoria",10187
10192,"Promoção",10187
10193,"Remoção",10187
10211,"Prestação de Contas",10207
10212,"Indisponibilidade de Bens",10207
10215,"Afastamento do Cargo",10213
10222,"Estabilidade",10220
10223,"Enquadramento",10220
10224,"Recondução",10220
10226,"Reintegração ou Readmissão",10220
10227,"Direito de Greve",10220
10228,"Transferência",10220
10229,"Remoção",10220
10232,"Reversão",10220
10233,"Redistribuição",10220
10234,"Disponibilidade / Aproveitamento",10220
10235,"Lotação",10220
10236,"Promoção / Ascensão",10220
10237,"Readaptação",10220
10238,"Estágio Probatório",10220
10240,"Posse e Exercício",10220
10241,"Exoneração ou Demissão",10220
10243,"Complementação de Benefício/Ferroviário",10288
10244,"Assistência à Saúde",10288
10245,"Assistência Pré-escolar",10288
10247,"Auxílio-Reclusão",10288
10248,"Auxílio-Funeral",10288
10251,"Provisória",10250
10257,"Voluntária",10254
10259,"Dirigente Sindical",10258
10260,"Licença Capacitação (Aperfeiçoamento Profissional)",10258
10261,"Licença-Prêmio",10258
10262,"Doença em Pessoa da Família",10258
10263,"Tratamento da Própria Saúde",10258
10264,"Gestante / Adotante / Paternidade",10258
10265,"Interesse Particular",10258
10266,"Serviço Militar",10258
10267,"Atividade Política",10258
10268,"Casamento",10258
10269,"Luto",10258
10270,"Amamentação",10258
10271,"Doação de Sangue",10258
10272,"Alistamento / Serviço Eleitoral",10258
10273,"Acompanhamento de Cônjuge ou Companheiro",10258
10274,"Exercício em Outro Município",10258
10275,"Licença por Acidente em Serviço",10258
10277,"Averbação / Contagem de Tempo Especial",10276
10278,"Averbação / Contagem Recíproca",10276
10286,"Programa de Desligamento Voluntário (PDV)",10219
10287,"Jornada de Trabalho",10219
10288,"Sistema Remuneratório e Benefícios",10219
10289,"Gratificações da Lei 8.112/1990",10288
10291,"Adicional de Insalubridade",10288
10292,"Adicional de Periculosidade",10288
10293,"Adicional de Fronteira",10288
10294,"Abono Pecuniário (Art. 78 Lei 8.112/1990)",10288
10296,"Descontos Indevidos",10288
10297,"Teto Salarial",10288
10299,"Plano de Classificação de Cargos",10288
10300,"Data Base",10288
10302,"Adicional por Tempo de Serviço",10288
10303,"Adicional de Horas Extras",10288
10304,"Auxílio-Alimentação",10288
10305,"Gratificações de Atividade",10288
10306,"Auxílio-transporte",10288
10308,"Adicional de Serviço Noturno",10288
10310,"Gratificação Natalina/13º salário",10288
10311,"Irredutibilidade de Vencimentos",10288
10312,"Piso Salarial",10288
10323,"Inclusão de Dependente",10288
10326,"Ingresso e Concurso",10325
10327,"Curso de Formação",10325
10328,"Reintegração",10325
10329,"Estabilidade",10325
10330,"Anistia Política",10325
10331,"Adidos, Agregados e Adjuntos",10325
10334,"Promoção",10325
10335,"Serviço Militar dos Profissionais da Saúde",10325
10336,"Corpo Feminino",10325
10350,"Licenças",10337
10351,"Agregação",10337
10352,"Reserva Remunerada",10337
10353,"Transferência ex-officio para reserva",10337
10354,"Tempo de Serviço",10337
10355,"Transferência para reserva",10337
10356,"Assistência Médico-Hospitalar",10337
10357,"Licença Prêmio",10337
10358,"Licenciamento",10337
10360,"Concessão",10359
10361,"Restabelecimento",10359
10362,"Provisória",10359
13740,"Quota Preenchimento",13711
10371,"Reserva de Vagas para Pessoas com Deficiência",10370
10372,"Inscrição / Documentação",10370
10373,"Limite de Idade",10370
10374,"Exigência de Prática Forense",10370
10375,"Prova de Títulos",10370
10376,"Exame de Saúde e/ou Aptidão Física",10370
10377,"Curso de Formação",10370
10378,"Exame Psicotécnico / Psiquiátrico",10370
10379,"Anulação e Correção de Provas / Questões",10370
10380,"Escolaridade",10370
10381,"Classificação e/ou Preterição",10370
10382,"Anulação",10370
10383,"Prazo de Validade",10370
10384,"Condições Especiais para Prestação de Prova",10370
10386,"Modalidade / Limite",10385
10387,"Habilitação / Registro Cadastral / Julgamento / Homologação",10385
10388,"Edital",10385
10389,"Revogação",10385
10390,"Sanções Administrativas",10385
10391,"Recursos Administrativos",10385
10392,"Convênio",10385
10393,"Adjudicação",10385
10410,"Contrato Temporário de Mão de Obra L 8.745/1993",10409
10411,"Admissão / Permanência / Despedida",10409
10418,"CNH - Carteira Nacional de Habilitação",10417
10419,"Liberação de Veículo Apreendido",10417
10420,"Licenciamento de Veículo",10417
10422,"Pagamento Atrasado / Correção Monetária",10421
10423,"Anulação",10421
10424,"Suspensão",10421
10425,"Rescisão",10421
10426,"Prorrogação",10421
10428,"Penalidades",10421
10429,"Execução Contratual",10421
10430,"Equilíbrio Financeiro",10421
10444,"Posse",10432
10452,"Reivindicação",10448
10453,"Retificação de Área de Imóvel",10448
10463,"Condomínio em Edifício",10448
10465,"Alteração de Coisa Comum",10463
10468,"Direitos / Deveres do Condômino",10463
10480,"Propriedade Resolúvel",10448
10485,"Superfície",10432
10486,"Uso",10432
10497,"Subsídios",10288
10504,"Acidente de Trânsito",10502
10508,"Maus Tratos",3388
10527,"Livros / Jornais / Periódicos",5914
10528,"Entidades Sem Fins Lucrativos",5914
10529,"Partidos Políticos",5914
10530,"Imunidade Recíproca",5914
10534,"Taxa de Limpeza Pública",5972
10535,"Taxa de Iluminação Pública",5972
10536,"Taxa de Coleta de Lixo",5972
10537,"Taxa de Prevenção e Combate a Incêndio",5972
10538,"Taxa de Licenciamento de Estabelecimento",5972
10560,"Quebra de Sigilo Bancário",6021
10581,"Turno Ininterrupto de Revezamento",1658
10598,"Cobrança indevida de ligações ",7617
10602,"Condicional do processo",4271
10605,"Competência do MP",10604
10606,"Cerceamento de Defesa",10604
10607,"Quebra do Sigilo Bancário",10604
10608,"Quebra do Sigilo Fiscal",10604
10609,"Quebra do Sigilo Telefônico",10604
10610,"Trancamento",10604
10626,"Indulto",10622
10630,"Transação",4263
10631,"Desaforamento",4291
10632,"Prisão Temporária",1209
10635,"Progressão de Regime",7791
10637,"Remição",7791
10651,"Competência dos Juizados Especiais",8829
10652,"Competência da Justiça do Trabalho",8829
10657,"Honorários Advocatícios em FGTS ",8874
10658,"Custas",8874
10659,"Suspeição",8884
10660,"Impedimento",8884
10662,"Abono de Permanência",10288
10666,"Regularidade Formal",9045
10669,"Protocolo Integrado / Descentralizado",9060
10671,"Obrigação de Fazer / Não Fazer",9148
10673,"Requisição de Pequeno Valor - RPV",9148
10675,"Quinto Constitucional",10187
10677,"Busca e Apreensão",10670
10678,"Sequestro de Verbas Públicas",10672
10679,"Fracionamento",10672
10680,"Crédito Complementar",10672
10683,"Fato Superveniente ao Término do Prazo para Impugnação",9148
10684,"Juros",9149
10685,"Correção Monetária",9149
10686,"Multa Cominatória / Astreintes",9148
10687,"Taxa SELIC",9149
10734,"Nulidade - Não Observância da Reserva de Plenário",8919
10735,"Ausência de Interesse Processual",8942
10737,"Ausência de Pressupostos de Constituição e Desenvolvimento ",8942
10738,"Sobrestamento",9045
10856,"Prescrição por Médico não vinculado ao SUS",10069
10859,"Alimentos",10573
10869,"Parcela Incontroversa",10672
10875,"Base de Cálculo",10291
10880,"Cumprimento Provisório de Sentença",9148
10881,"Nepotismo",10220
10883,"Fruição / Gozo",10301
10884,"Indenização / Terço Constitucional",10301
10885,"Liquidação Parcelada",10672
10892,"Medicamento / Tratamento / Cirurgia de Eficácia não comprovada",10069
10894,"Abuso de Poder",9997
10897,"Competência dos Juizados Especiais",4291
10898,"Competência da Justiça Federal",4291
10899,"Competência da Justiça Estadual",4291
10900,"Competência por Prerrogativa de Função",4291
10901,"Competência por Prerrogativa de Função",8829
10909,"Imunidade em razão de função, ofício ou profissão",4291
10913,"Indisponibilidade / Seqüestro de Bens",10912
14041,"Bancos",14039
1724,"Assédio Sexual",1855
10914,"Busca e Apreensão de Bens",10912
10922,"Cobrança de Multa Moratória de Massa Falida",6017
10923,"Cobrança de Juros Moratórios de Massa Falida",6017
10924,"Depósito Elisivo",4993
10939,"Intimação / Notificação",8893
10940,"Depoimento",8990
10945,"Expurgos Inflacionários / Planos Econômicos",7752
10948,"Violência Doméstica Contra a Mulher",5626
10949,"Violência Doméstica Contra a Mulher",287
10950,"Crime / Contravenção contra Criança / Adolescente",287
10951,"Crime / Contravenção contra Idoso",287
10952,"Fato Atípico",287
10954,"Orçamento",9985
10958,"Crédito Suplementar",10954
10982,"Lavagem ou Ocultação de Bens; Direitos ou Valores Oriundos de Corrupção",3547
10983,"Lavagem ou Ocultação de Bens; Direitos ou Valores Oriundos de Corrupção",5872
10984,"Lavagem ou Ocultação de Bens; Direitos ou Valores Oriundos de Corrupção",5873
10986,"Crime contra a administração ambiental",3618
11000,"Cobrança de Aluguéis - Sem despejo",9593
11001,"Consignação de Chaves",9593
11047,"Competência da Justiça Militar da União",8829
11048,"Competência da Justiça Militar dos Estados",8829
11067,"Irregularidade na composição do Conselho",11066
11068,"DIREITO PENAL MILITAR",1
11069,"Crime Culposo",11068
11071,"Crime Tentado",11068
11072,"Crimes contra a Administração da Justiça Militar",11068
11073,"Crimes contra a Administração Militar",11068
11074,"Crimes contra a Autoridade ou Disciplina Militar",11068
11075,"Crimes contra a Pessoa",11068
11076,"Crimes contra a Segurança Externa do País",11068
11077,"Crimes contra Incolumidade Pública",11068
11078,"Crimes contra o Patrimônio",11068
11079,"Crimes contra o Serviço Militar e o Dever Militar",11068
11080,"Parte Geral ",11068
11081,"Aplicação da Pena",11080
11082,"Efeitos da Condenação",11080
11084,"Extinção da punibilidade",11080
11085,"Livramento Condicional",11080
11086,"Penas Acessórias",11080
11087,"Suspensão Condicional da Pena",11080
11088,"Tipicidade",11080
11089,"Abolitio criminis",11088
11091,"Exclusão das Forças Armadas",11086
11092,"Inabilitação para o exercício de Função Pública",11086
11093,"Incompatibilidade para o Oficialato",11086
11094,"Indignidade para o Oficialato",11086
11095,"Perda da Função Pública",11086
11096,"Perda da Graduação das Praças ",11086
11097,"Perda do Posto e da Patente",11086
11098,"Suspensão do pátrio poder, tutela ou curatela",11086
11099,"Suspensão dos direitos políticos",11086
11100,"Anistia",11084
11101,"Indulto",11084
11102,"Morte do Agente",11084
11103,"Prescrição",11084
11104,"Reabilitação",11084
11105,"Ressarcimento do Dano",11084
11106,"Estado de Necessidade",11083
11107,"Estado de Necessidade exculpante",11083
11108,"Estrito Cumprimento do Dever Legal",11083
11109,"Exercício Regular do Direito",11083
11110,"Inexigibilidade de Conduta Diversa",11083
11111,"Legítima Defesa",11083
11112,"Perda em favor da Fazenda Pública",11082
11114,"Conversão da Pena",11081
11115,"Substituição da Pena",11081
11116,"Abandono de posto e de outros crimes em serviço",11079
11117,"Deserção",11079
11118,"Exercício de comércio",11079
11119,"Insubmissão",11079
11120,"Criação ou simulação de incapacidade física",11119
11121,"Favorecimento a convocado",11119
11122,"Insubmissão",11119
11123,"Insubmissão privilegiada",11119
11124,"Substituição de convocado",11119
11126,"Concerto para deserção",11117
11127,"Deserção",11117
11128,"Deserção - casos assimilados",11117
11129,"Deserção especial",11117
11130,"Deserção por evasão ou fuga",11117
11131,"Deserção privilegiada",11117
11132,"Deserção qualificada",11117
11133,"Favorecimento a desertor",11117
11136,"Descumprimento de missão",11116
11137,"Dormir em serviço",11116
11138,"Embriaguez em serviço",11116
11139,"Omissão de eficiência da força",11116
11140,"Omissão de providências para evitar danos",11116
11141,"Omissão de providências para salvar comandados",11116
11142,"Omissão de socorro",11116
11143,"Retenção indevida",11116
11144,"Apropriação Indébita",11078
11145,"Dano",11078
11146,"Estelionato e outras fraudes",11078
11147,"Furto",11078
11149,"Roubo e Extorsão",11078
11150,"Usura",11078
11151,"Usurpação",11078
11152,"Alteração de Limites ",11151
11153,"Aposição, supressão ou alteração de marca",11151
11154,"Usura pecuniária",11150
11155,"Chantagem",11149
11156,"Extorsão ",11149
11157,"Extorsão indireta",11149
11158,"Extorsão mediante sequestro",11149
11159,"Latrocínio",11149
11160,"Roubo",11149
11161,"Roubo qualificado",11149
11162,"Receptação",11148
11163,"Furto ",11147
11164,"Furto de uso",11147
11165,"Furto qualificado",11147
11166,"Abuso de pessoa",11146
14058,"Interrupção",14046
11167,"Estelionato",11146
11169,"Dano em aparelhos e instalações ",11145
11170,"Dano em navio de guerra ou mercante em serviço militar",11145
11171,"Dano material ou aparelhamento de guerra",11145
11172,"Dano qualificado",11145
11173,"Dano simples",11145
11174,"Desaparecimento,consunção ou extravio",11145
11175,"Apropriação de coisa achada",11144
11176,"Apropriação de coisa havida acidentalmente",11144
11177,"Apropriação indébita",11144
11179,"Crimes contra os Meios de Transporte e de Comunicação",11077
11180,"Crimes de Perigo Comum",11077
11181,"Abuso de radiação",11180
11182,"Desabamento ou desmoronamento",11180
11183,"Difusão de epizootia ou praga vegetal",11180
11184,"Embriaguez ao volante",11180
11185,"Emprego de gás tóxico ou asfixiante",11180
11186,"Explosão",11180
11187,"Fatos que expõem a perigo aparelhamento militar",11180
11188,"Fuga após acidente de trânsito",11180
11189,"Incêndio",11180
11190,"Inundação",11180
13460,"Integração em Verbas Rescisórias ",2458
11191,"Perigo de inundação",11180
11192,"Perigo resultante de violação de regra de trânsito",11180
11193,"Subtração, ocultação ou inutilização de material de socorro",11180
11194,"Arremesso de projétil",11179
11195,"Atentado contra serviço de utilidade militar",11179
11196,"Atentado contra transporte",11179
11197,"Atentado contra viatura ou outro meio de transporte",11179
11198,"Interrupção ou perturbação de serviço ou meio de comunicação",11179
11199,"Perigo de desastre ferroviário",11179
11200,"Corrupção ou poluição de água potável",11178
11201,"Envenenamento com perigo extensivo",11178
13463,"Intervalo 15 Minutos Mulher ",2140
11202,"Epidemia",11178
11203,"Fornecimento de substância alterada",11178
11204,"Fornecimento de substancia nociva",11178
11205,"Omissão de notificação de doença",11178
11206,"Receita Ilegal",11178
11207,"Tráfico, posse ou uso de entorpecente ou substância de efeito similar",11178
11208,"Atos de jurisdição indevida",11076
11209,"Consecução de notícia, informação ou documento para fim de espionagem",11076
11210,"Desenho ou levantamento de plano ou planta de local militar",11076
11211,"Entendimento para empenhar o Brasil à neutralidade ou à guerra",11076
13464,"Intervalo Intrajornada ",5280
13465,"Isonomia Salarial ",2704
5724,"Sociedade ",9616
11212,"Entendimento para gerar conflito ou divergência com o Brasil",11076
11213,"Hostilidade contra país estrangeiro",11076
11214,"Hostilidade qualificada pelo resultado",11076
11215,"Penetração com o fim de espionagem",11076
11216,"Provocação a país estrangeiro",11076
11217,"Revelação de notícia, informação ou documento",11076
11218,"Revelação de notícia, informação ou documento, com o fim de espionagem militar",11076
11220,"Tentativa contra a soberania do Brasil",11076
11221,"Turbação de objeto ou documento",11076
11222,"Violação de território estrangeiro",11076
